種類,類別,狀態,發票類型,公司,客戶,公司名稱,發票,名稱,描述,支票,付款日期,總額,車輛,參考服務,參考費用,入帳票編號,epd214,代付,已付款,註解,refServices,refVehicles,refContracts,refClients,refDrivers
"服務發票","付款記錄","收入","運輸服務收入","DTC"," 榮興","","DTCS82FA44","銀行轉帳","","100158","2022-02-28",1200,"","","","","64548844a0eb9377daeb2abe","",TRUE,"","","",""," 榮興","邵鵬宇"
"服務發票","付款記錄","收入","運輸服務收入","DTC","創達","","DTCSEF976E","銀行轉帳","","003347","2022-06-14",40600,"","","","","64548844a0eb9377daeb2abe","",TRUE,"","1867583, 1867584, 1867585, 1867586, 1867587, 1867589, 1867590, 1867591, 1867592, 1867593, 1867594, 1867597, 1867596, 1867598, 1867599, 1867600, 3000851, 3000852, 3000854, 3000855, 3000857, 3000858, 3000859, 3000860, 3000861, 3000862, 3000863, 3000865, 3000866, 3000867, 3000868, 1864146, 1864147, 1864148, 1864149, 1864150, 1865511, 3000333, 3000328, 3000313, 3000312, 3000311, 3000310, 3000306, 3000309, 3000305, 3000304, 1865524, 3000314, 3000315, 3000317, 3000318, 3000331, 3000332, 3000324, 3000325, 3000326, 3000327, 1865516, 1865517, 1865518, 1865519, 1865520, 1865521, 1865522, 1865523","VE987, HW924, DH116","","創達","朱偉業, 街車"
"服務發票","付款記錄","收入","運輸服務收入","DTC"," 榮興","","DTCS4C3668","銀行轉帳","","000381","2022-03-11",2190,"","","","","64548844a0eb9377daeb2abe","",TRUE,"","1860129, 1860130, 1860131","PE3086",""," 榮興","街車"
"服務發票","付款記錄","收入","代工租機車收入","DCL","","","DCLS350119","","","8137814","2023-03-15",11957,"","","","","64548844a0eb9377daeb2abe","","","","","","","金門",""
"服務發票","付款記錄","收入","運輸服務收入","DTC"," 榮興","","DTCSF4DF84","銀行轉帳","","BOC100614","2022-07-04",1660,"","","","","64548844a0eb9377daeb2abe","",TRUE,"","1866007, 1866008","UH1883",""," 榮興","街車"
"服務發票","付款記錄","收入","租賃服務收入","DCL","","","DCLSA5149C","","","","2022-01-31",27000,"","","","","64548844a0eb9377daeb2abe","",TRUE,"","","","","金門",""
"服務發票","付款記錄","收入","運輸服務收入","DCL","金門","","DCLS9AC139","銀行轉帳","","","2022-05-05",18000,"","","","","64548844a0eb9377daeb2abe","",TRUE,"","2054144, 2023466, 2023458, 2023459","UH1883, WY987","","金門","邵鵬宇, 張國銘"
"服務發票","付款記錄","收入","運輸服務收入","DTC","","","DTCS01FDA1","","","","2021-12-07",33310,"","","","","64548844a0eb9377daeb2abe","",TRUE,"","","",""," 榮興",""
"服務發票","付款記錄","收入","租賃服務收入","DCL","","","DCLS01B3C9","","","","2022-06-08",49269.15,"","","","","64548844a0eb9377daeb2abe","",TRUE,"","","","DCLQ508EAE","金門",""
"服務發票","付款記錄","收入","工程服務收入","DTC","","","DTCS6ECE98","","","BOC100999","2022-03-23",202350,"","","","","64548844a0eb9377daeb2abe","",TRUE,"","","",""," 榮興",""
"服務發票","付款記錄","收入","運輸服務收入","DTC"," 榮興","","DTCS2BAB57","銀行轉帳","","BOC000596","2023-03-10",4150,"","","","","64548844a0eb9377daeb2abe","","","","1866018, 1866019, 1866020, 1866021, 1866022","UH1883",""," 榮興","邵鵬宇"
"服務發票","付款記錄","收入","運輸服務收入","DTC"," 榮興","","DTCSFC73D5","銀行轉帳","","100163","2022-07-19",80500,"","","","","64548844a0eb9377daeb2abe","",TRUE,"","2041162, 3000329, 2041512, 2032611, 2041159, 2041164, 2041513, 2041163, 2041165, 2041514, 2042162, 2041166, 2040075, 3000330, 2032612, 2032617, 2032608, 2032613, 2032613, 2041161, 2041509, 2040074, 2040073","XF2103, HW924, VJ6178, ME122, WW8719, GP6607, WG6527, FM115, HY1606, RM723, SC906, XB1070, XV925, UB3457, VF1643",""," 榮興","街車"
"服務發票","付款記錄","收入","運輸服務收入","DTC"," 榮興","","DTCS9E05F5","銀行轉帳","","BOC100509","2022-10-06",11670,"","","","","64548844a0eb9377daeb2abe","",TRUE,"","3000774, 3000775, 3000776, 3000777, 3007202, 3007207, 3007208, 1866208, 1866210, 1866211, 1866212, 1866213","EM987, VE987, SL5315, VR902, WT9868, KV522",""," 榮興","盧光耀, 朱偉業, 街車"
"服務發票","付款記錄","收入","運輸服務收入","DCL","","","DCLS3D8BC5","","","028748","2022-09-16",66500,"","","","","64548844a0eb9377daeb2abe","",TRUE,"","","","DCLQ222426","磐石建築有限公司",""
"服務發票","付款記錄","收入","運輸服務收入","DCL","SCKUJV","","DCLS4EE85B","銀行轉帳","","000201","2021-01-04",126664,"","","","","64548844a0eb9377daeb2abe","",TRUE,"","619752cfc9c60207781bc1d0, 61975377c9c60207781bc90e, 6197537ac9c60207781bcc23, 61975a7dc9c60207781c24d7, 61975b13c9c60207781c298e, 61975b15c9c60207781c2c9a, 61975b18c9c60207781c2eee, 61975b1fc9c60207781c2fb1, 61975c00c9c60207781c32e7, 61975c03c9c60207781c35f3, 61975c06c9c60207781c3847, 61975c09c9c60207781c390a, 61975c14c9c60207781c391d, 61975c17c9c60207781c3930, 61975c19c9c60207781c3943, 61a9d2ce1b02203400253e4f, 61a9d35c1b0220340025426c, 61a9d35f1b0220340025457b, 61a9d3681b02203400254882, 61a9d38f1b02203400254e90, 61a9d3de1b02203400255193, 61a9d3e31b022034002554a8, 61a9d3e81b022034002557b5, 61a9d3eb1b02203400255aba, 61a9d4871b022034002567ed, 61a9d4971b02203400256800, 61a9d50f1b02203400257232, 61a9d5201b02203400257537, 61a9fd101b0220340026ea53","XA1832","","SCKUJV","張展賜, 麥莘田"
"服務發票","付款記錄","收入","運輸服務收入","DCL","","","DCLS91461C","","","","2022-05-26",68500,"","","","","64548844a0eb9377daeb2abe","",TRUE,"","","","","金門",""
"服務發票","付款記錄","收入","工程服務收入","DTC","","","DTCS4C5AEA","","","BOC100920","2022-01-24",216088.4,"","","","","64548844a0eb9377daeb2abe","","","","","",""," 榮興",""
"服務發票","付款記錄","收入","工程服務收入","DTC","","","DTCS547BB2","","","101062","2022-05-10",38000,"","","","","64548844a0eb9377daeb2abe","","","","","",""," 榮興",""
"服務發票","付款記錄","收入","運輸服務收入","DTC"," 榮興","","DTCS164B59","銀行轉帳","","102194","2022-02-16",6030,"","","","","64548844a0eb9377daeb2abe","",TRUE,"","1861112, 3007521, 3007523, 3007522, 3007520, 3007519, 3007518","VE987, WC987",""," 榮興","朱偉業, 馬文海"
"服務發票","付款記錄","收入","運輸服務收入","DTC","嘉華混凝土","","DTCSFD71E2","銀行轉帳","","","2024-05-09",758707,"","","","","64548844a0eb9377daeb2abe","","","","2041488, 2041470, 2041472, 2041473, 2041476, 2041479, 2041480, 2041483, 2041497, 2045613, 2045618, 2045617, 2045623, 2045628, 2045636, 2045645, 2045362, 2041477, 2041481, 2041491, 2041494, 2041498, 2045614, 2045619, 2045625, 2045632, 2045642, 2045352, 2045361, 2045408, 2045417, 2045650, 2045358, 2045369, 2045378, 2045388, 2045402, 2045410, 2045421, 2045360, 2045649, 2045370, 2045382, 2045392, 2045396, 2045406, 2045639, 2045640, 2045620, 2045624, 2045631, 2045641, 2045351, 2045372, 2045381, 2045386, 2045397, 2045416, 2041478, 2041482, 2041490, 2041495, 2041499, 2045621, 2045626, 2045630, 2045359, 2045371, 2045376, 2045389, 2045398, 2045409, 2045615, 2045403, 2041489, 2041469, 2041496, 2045407, 2045622, 2045629, 2045637, 2045638, 2045647, 2045648, 2045356, 2045357, 2045363, 2045367, 2045373, 2045380, 2045384, 2045387, 2045395, 2045399, 2045414, 2045422, 2045423, 2045420, 2045633, 2045634, 2045646, 2045643, 2045355, 2045353, 2045365, 2045368, 2045375, 2045377, 2045385, 2045390, 2045394, 2045400, 2045405, 2045415, 2045412, 2045418, 2045425, 2045393, 2041471, 2041474, 2041500, 2045616, 2045627, 2045635, 2045644, 2045354, 2045364, 2045366, 2045374, 2045379, 2045383, 2045391, 2045401, 2045404, 2045413, 2045411, 2045419, 2045424, 2041475, 2045612, 2045456, 2045428, 2045439, 2045446, 2045457, 2045438, 2045452, 2045430, 2045441, 2045448, 2045460, 2045429, 2045440, 2045447, 2045459, 2045431, 2045437, 2045451, 2045461, 2045442, 2045427, 2045450, 2045462, 2045426, 2045436, 2045449, 2045458, 2045638, 2045403, 2045432, 2045444, 2045454, 2045464, 2045448, 2045435, 2045445, 2045453, 2045453, 2045434, 2045443, 2045455, 2045465","EM987, XF2103, WY8724, WC987, XH8301, RG8880, GB8106, RL3932, SJ6293, UW4875, TK5279, XW1778, JG6966, WP349","DTCQ32463B, DCLQ7F382F","嘉華混凝土","張展賜"
"服務發票","付款記錄","收入","工程服務收入","DTC","","","DTCSA4B039","","","BOC101035","2022-03-23",85500,"","","","","64548844a0eb9377daeb2abe","","","","","",""," 榮興",""
"服務發票","付款記錄","收入","運輸服務收入","DTC","","","DTCS086FB9","","","","2024-05-09",27320,"","","","","64548844a0eb9377daeb2abe","","","","","","DCLQ7F382F","嘉華混凝土",""
"服務發票","付款記錄","收入","運輸服務收入","DCL","法國地基","","DCLS050F63","銀行轉帳","","868320","2022-01-05",206398,"","","","","64548844a0eb9377daeb2abe","",TRUE,"","2032792, 2032793, 2032794, 2032795, 2032796, 2032797, 2032798, 2032799, 2033652, 2033651, 2032800, 2033654, 2033653, 2033924, 2033925, 2033930, 2033929, 2033928, 2033927, 2033926, 2033934, 2033933, 2033932, 2033931, 2033936, 2033935, 2033768, 2033656, 2033657, 2033658, 2033659, 2033660, 2033661, 2033662, 2033663, 2033664, 2033665, 2033667, 2033666, 2033937, 2033938, 2033939, 2033941, 2033940, 2033943, 2033942, 2033945, 2033944, 2033947, 2033946, 2033949, 2033948","RP3413","","法國地基","街車"
